599	0.60	경기도는 계속 공급이 되죠. 서울은
2600	2.60	공급이 계속 안 되죠. 이러면 어떤
4279	4.28	문제가 생기냐? 가격도 양극화가 되는
6960	6.96	현상이 일어날 수밖에 없습니다. 이건
8760	8.76	더 큰 문제예요. 집값 단순히 오르는
10519	10.52	거보다 양극화 되는 거는 더 큰 욕을
12960	12.96	먹을 수 있는 문제입니다. 그 비난의
14719	14.72	화사를 정부는 감당할 수 없기 때문에
16800	16.80	뭘 해야 됩니까? 어쩔 수 없이
18240	18.24	중심부에다가 공급은 못 하니까 규제
20119	20.12	폭탄을 때려야겠죠. 당연히 15억
21880	21.88	초가 대출 아예 못 하게 하는거나
23560	23.56	서울 위주로 규제 지역 제 지역을 더
25119	25.12	건다거나 보유세를 인상한다거나 여러
27080	27.08	가지 이제 규제를 걸 수밖에 없을
28519	28.52	겁니다. 어쩔 수 없이 이제 규제
30119	30.12	폭탄이 계속 이어질 수밖에 없다.
31640	31.64	그래서 앞으로 이제 5년간 부동산
32960	32.96	규제는 계속 발표를 할 거고요. 뻔히
34879	34.88	보이는 추가 규제들 뻔히 보이는 걸
37120	37.12	굳이 우리가 예상 못 하고 있다가
38760	38.76	머리통 맞으면 안 되겠죠. 어, 피할
40079	40.08	수 있는 거 빨빨리 피해야 돼요.
