0	0.00	여러분 안녕하세요 모두의 부동산입니다 오늘은 수원 망포 쪽에 위치하는
4230	4.23	영통 아이파크 기술 있죠
6299	6.30	얼마전에 3 단지가 분양을 했죠 여기가 일단 지금 또 단지까지 있어요
10950	10.95	아직 4호 단지 분양 했습니다 이 영통 아이파크 캐 스 근데 수원이 줘
14969	14.97	물어볼 걸 물어 보라 영통 인데 수원이 g
17609	17.61	근데 여기가 수원이 아니라 화성이 되요 앞으로 수원 시민들이 천향
21420	21.42	못한답니다
22710	22.71	내부에 화성시 반정동 로테 캐슬이 분양 예정인데 여기에는 분명히 화성시
27840	27.84	반정동 인데 화성이 아니래요
30179	30.18	수원 이에요 영통 아이파크 캐슬은 4성 2구 판정 동은 수원 이고 이게
35969	35.97	도대체 무슨 일일까요
37350	37.35	도대체 이런 짓을 왜 하는걸까요 이게 뭔 일일까요
40290	40.29	그리고 이렇게 되면 영통 아이파크 캐 슬 봐 반정도 못해 캐슬은 어떤
45600	45.60	영향을 받을까요 뭐 좋은건지 안좋은건지 수원으로 하는게 좋은거 아닌가
49320	49.32	손으로 하면 2개 가야지 군데 좋은건가
51390	51.39	그래서 학군이 좋잖아 서원리 이런 여러가지 생각이 드시죠
54480	54.48	여러가지 변수가 있기 때문에 좋은건지 안좋은건지 각각 판단이 애매 합니다
58140	58.14	그래서 오늘 이런 부분에 대해서 알아볼게요
61260	61.26	궁금하시면 영상을 끝까지 시청 해 주세요
71150	71.15	여러분 이게 많고 4지구 입니다 많고 4 지구가 바로 꽃 영통 아이파크
75409	75.41	캐슬이 에요
76310	76.31	잘 모르시는 분들은 왜 영통 아이파크 캐슬은 왜 이렇게 자주 분양 하냐
80330	80.33	라고 하시는데 이게 단지를 나눠서 하기 때문에 그렇습니다
84350	84.35	영통 아이파크 캐슬을 총 5단지 를 분야 하는거예요
88009	88.01	1단지 2단지 여긴 예전에 분양 했죠
91250	91.25	작년에 분양 했고 바로 얼마전에 20 년 7월에 3단지 3 블럭이 분양
96140	96.14	했습니다 영통 아이파크 캐슬 1단지 2단지 3단지 가리는 제품은 끝났어요
100819	100.82	4 5단지는 아직 남아 있어요 또 할 거에요 그러니까 어떻게 이쁘죠 수원
105140	105.14	시민 으로서 그렇게 역세권 까진 아니지만 5단지 나 분양을 해 준다니
109550	109.55	3단지 놓쳤지만 어 2단지 남았네 여기 한번 써봐야겠다 라고 생각을
114229	114.23	하시고 있죠
115580	115.58	그런데 여러분이 오니까 수원 일까요 화성 일까요 당연히 수원이 g2
119000	119.00	전체가 망포 4구역 이라는 수원의 구역인 데에
122690	122.69	망포 4 구역 안에 있으니까 다 수원이 g 라는 생각이 드시죠
127399	127.40	지금은 그게 맞습니다 지금 맞는데 이렇게 4호 잔 지만 잘 나서 이제
132170	132.17	수원이 아니라 화성으로 파괴 됩니다 그러니까 1 2 3단지 까지는
136850	136.85	수원으로 유지가 되지만 앞으로 분양하는 4 5단지는 화성으로 들어간
142489	142.49	되는거예요 화성으로 수원이 아니고 아니면 삼팔선 도 아니고 같은 망포
146660	146.66	4지구 안에서 북쪽은 수원 이고 남쪽은 화성 이에요
150650	150.65	자 그럼 수원 10장에서는 이거를 화성이 가져가면 손에 잖아요 그래서
154660	154.66	학교를 합니다
156140	156.14	학교 알을 옆에 로 k 는 반 점도 못해 캐 스
160220	160.22	여기도 분양 예정 인데요 여기가 이제 화성에서 수원으로 편이 될 거예요
164840	164.84	자 일단 왜 이렇게 땅을 맞게 말을 하는거냐
