0	0.00	판교는 앞으로 양질의 일자리가 가장 많이 드러날 것입니다
3629	3.63	대한민국 일자리에 중심은 기존에는 강남 여의도 종로 했는데 이게 강남
8580	8.58	판교 중심으로 재편 된다
10800	10.80	강남 절대 안 빠지구요 8 류가 급속하게 떠오르는 거죠
14009	14.01	뭔가 전반적으로 우리나라는 남쪽으로 남쪽으로 중 일부가 이동하는 경향을
18779	18.78	띠고 있어요 최근 40년간 이렇게 양질의 일자리가 폭발적으로 증가
22769	22.77	하다보니 dcx 하루 선 분당 트램 서로 판교로 노선을 이 으려고 난린데
28800	28.80	여기 왼쪽에 보이시는 푸른색 노선 있죠 서쪽에서 쭉 들어오는 이 노선이
32610	32.61	바로 월 펜션입니다
34350	34.35	2월 판 30 지난 4월 26일에 착공 했어요 착공을 했다는 건 개통이
39719	39.72	사실상 100% 확정된 노선 이란 뜻이죠
42480	42.48	그리고 그 착공한 지 얼마 안 됐기 때문에 상당히 좋은 투자 시점 입니다
46020	46.02	입항 경우 라는 엄청난 일자리를 등이 없고 날아갈 벌판 성
50129	50.13	오늘 여러분들께 2월 판서 능의 각 정거장 별로 괜찮은 투자처를
54360	54.36	말씀드릴게요
55230	55.23	오른쪽에서 왼쪽으로 하시죠
64269	64.27	자 오늘은 2월 판 손 얘기를 할 텐데요
66400	66.40	벌판 성 라인 따라 투자처를 보는 거에요
69729	69.73	저에게 월 펜서 나인 입니다 월 판 선이라는 것은 월보 3에서 판교 까지
74380	74.38	가는 노선이 더 라고 하는 의미에요 월 8
77140	77.14	앞글자를 딴 거죠 넌 지금 실제 보시면 노선 자체는 성도에서 부터
80410	80.41	시작했죠
81369	81.37	이 송도는 여러분 생각하시는 주 txd 노선 송도가 아니에요
85810	85.81	근데 밑에 있고 뒤쪽에 또 송도 여기 따로 있어요 제 아저 송도 요 이
89380	89.38	송도 부터 월 곳까지 요구가 는 지금 이미 수인선 이 다니고 있는
93640	93.64	곳입니다
94090	94.09	2월 곳에서 판교 까지 의 월 판 선이 이수 인성과 이어지게 되는 거에요
99729	99.73	자월 판소리 딱 공연은 2월 판서 4 목적이 뭐예요 목적 경기 남도를
104680	104.68	전반적으로 이렇게 횡단한 다른 목적이 있는데 혹시 궁극적인 목적은 요
109810	109.81	판교를 가능 거에요
111490	111.49	판교로 출퇴근을 하려고 이도 선을 만드는 겁니다 인천 분들
115180	115.18	시흥 분들 광명 안양 분들을 판교로 출 태그를 시키려고 이 노선을 만드는
120430	120.43	거죠
120850	120.85	누군가 이 노선을 타고 매 원을 간다고 왜 곳에 간다고 1000개를
124630	124.63	가시는 분들은 그렇게 됨으로 있는 것만 같은 한정 역에서 환승 하려고
128349	128.35	타시는 분들도 있겠죠
129670	129.67	가장 많은 분들이 판결을 가시려고 이거 선을 할 겁니다
133300	133.30	판교를 직행하는 조선 이기 때문에 가치가 높다 라고 말씀을 드리는 거고
137200	137.20	여기서 또 주목해야 될 게 뭐냐면 이 표정 속도 에요
140200	140.20	지금 표정 속도가 시속 70 이리 줘 이제 굉장히 빠른 겁니다 여러분
144310	144.31	예를 들면 은 우리가 익숙한 2 5호선 지하철 이어서 초록색 개의 표정
149500	149.50	속도는 32.5 km 에요
151870	151.87	그러면 지금 월 판서 네 표정 속도가 2호 손에 표정 속도보다 2배
156880	156.88	이상의 빠르죠
157959	157.96	두 배 해도 65p 오니까 2배 보다도 더 빨라요 얘기 뭐냐 같은 거리를
162370	162.37	단다고 해도 같은거 리면 월 판 선이 기존의 2호선 보다 2배 이상
167560	167.56	빠르게 도달한다는 얘기예요
169390	169.39	인천에서 판 욕까지 면 기존의 2호선이 로서 이런거 타고 가면 거의
173650	173.65	1시간 걸릴 것을 30분 이내에 할 수 있게 해준다 지금이 인천에서 판교
178060	178.06	하려면 1 세월입니다 이것을 함 10분으로 줄여준다
181209	181.21	일반 지하철보다 훨씬 빠르다 심지어 그 팩은 더 빠르다 물리적 거리가
185290	185.29	멀다 고 하더라 또 시간적인 거리는 굉장히 가까워진다
189490	189.49	제가 이 얘기를 언제 만 이에요 물리적 거리를 극복하는 시간적 거리 튀
193270	193.27	tx 에게 할 때마다 하는 얘기죠
195550	195.55	씹지 x 에 투자하세요 투자하세요 투자하세요 수십번 얘기 할 때마다
199120	199.12	물리적 어린 중요하지 않다 시간적인 거리가 중요하다
202180	202.18	얘기를 하는데 위치 x 는 어디서 어딜가도 30분에 가니까 웬만해서는
206560	206.56	25분 위에다 하니까
208000	208.00	즉 아무리 멀어도 gtx 가 들어오면 괜찮다고 말씀을 드리는 건데 2월
212260	212.26	파손이 마치고 와 비슷해
213760	213.76	히트 역사 비슷해요 회전 속도로 gtx 표정 속도가 100km 해요
218200	218.20	그러면 32 키로 100키로 사회에게 1 70개 되는 거죠 그럼 2월
221740	221.74	판사의 속도는 진짜
223400	223.40	2x 에는 조금 못 미치지만 일반 지하철로 당시 빠른 말이에요
227090	227.09	이렇게 gtx lena 막힘이 나오지 gtx b 나 c 같은 경우에는
231140	231.14	이보다 더 올라서 당신이 큽니다
232730	232.73	그럼 2월 판 손 그 탱 같은 경우에는 거의 배 키를 가깝다
237170	237.17	그건 진짜 gtx 줘 급행이 아니라고 하더라도 거의 준 gtx 그 속도
241909	241.91	라고 볼 수 있다는 거에요
243290	243.29	내 그 일반 지하철이 1 들어오는 것보다 훨씬 더 큰 파급효과를 쉴 수
248239	248.24	있다는 얘기입니다
249140	249.14	특히 멀어지면 멀어질수록 목적지는 판교 기 때문에 gtx 의 목적지가
253129	253.13	강남 이라면 2월 판서 4 목적지는 판교 이기 때문에 판교에서 오히려
257180	257.18	멀어지면 멀어질수록 2월 판 선 자체의 호재는 더 크게 작용할 수 있다
262280	262.28	이게 자꾸 이상하게 드시는게 이외 왼쪽이 더 이 오른쪽보다 입지가 좋다는
266300	266.30	게 아니에요
267350	267.35	2월 판 손에 의한 호재 자체는 이외 왼쪽에 더 좋을 수 있다는 거에요
271580	271.58	gtx 도 양주 의정부 덕정 동탄 이런 끝에 있는 애들 저위에 처마 밑에
277760	277.76	멀리 있는 지역의 가장 큰 영향을 미쳤던 말이죠
281270	281.27	비슷한 거에요 일반 지하철을 이르지 않지만 위치 x 급으로 빨리 빨리
285500	285.50	가는 애들은 거리가 멀더라도 금방 도착할 수 있는 이런 노선 들은 이런
290360	290.36	특징을 가진다
291380	291.38	근데 집값이 상대적으로 왼쪽이 훨씬 싸기 때문에 투자에 기획의 많이 쓸
295430	295.43	수 있겠죠
296150	296.15	자 그럼 한 유 에서 가까운 전고 장부터 근처에 어떤 투자처가 괜찮은게
300409	300.41	있는지 알아볼게요
301550	301.55	판교 자체는 제가 뭐 딱히 언급은 하지 않겠습니다 실 판교는 월 판 선의
306320	306.32	수혜지역 은 아니에요
307970	307.97	판교는 월 판서 네 생명을 불어넣은 주는 역할을 하는 거지
312020	312.02	8 료가 2월 판소리 생긴다고 해서 판교 주민들이 딱히 이득을 볼 건
316789	316.79	없죠
