40	0.04	아주 극단적인 방법을 동원을 하는데
2679	2.68	결과물은 되게 피라미 같이 나오죠.
4560	4.56	왜 굳이 그 중요한 용산 국제 업무
7160	7.16	지구를 망쳐가면서 만가구를 넣어야
9440	9.44	되는 거예요. 왜 멀쩡이 운영을 하고
11080	11.08	있는 경마장을 없애고 왜 그 중요한
13200	13.20	방첩부를 다른 데로 옮기며 사람들이
15320	15.32	잘 쓰고 있는 골프장을 없애 버리고
17199	17.20	그린벨트도 해제하고 용산 어린이
19039	19.04	정원도 얘기가 나와요. 하다 이제
20600	20.60	버스까지도 활용을 해야 된다. 굳이
22400	22.40	그럴 필요가 있냐는 거죠. 다 해도
24400	24.40	5만호가 채 안 돼요. 그것도 반발
25920	25.92	너무 심해 가지고 실제로는 한 1,
27599	27.60	2만 개밖에 못 할 겁니다. 엄청
29400	29.40	극약 처방을 하는 거잖아요. 지금
30720	30.72	모든 거를 희생해 가면서 주택을
32559	32.56	지으려고 하는 그래서 엄청난 결과가
34320	34.32	나와야 되는데 되게 피라미 같은 몇
36360	36.36	만 개 이렇게 나온단 말이에요.
37480	37.48	그런데 그냥 방해만 안 하고 내비
39280	39.28	두면 너무 쉽게 서울에 수십만 원에서
42120	42.12	100만 원 이상 공급할 수 있는
43360	43.36	방법이 분명히 있죠. 그 방법을
45160	45.16	내비두고 왜 굳이 이렇게까지 하냐는
47480	47.48	거죠. 아주 쉬운 길. 민간
49239	49.24	공급이라는 너무너무 너무 쉬운 길을
51280	51.28	막아놨어요.
