0	0.00	동탄역 뒤 에트로 의 모집 공부가 들이 얻었습니다
3240	3.24	한마디로 이렇게 정리하고 싶은데요 로또를 샀는데
6359	6.36	로또 1등 당첨자가 531 명 이다
9960	9.96	제가 로또 1등 이라고 했죠 시세차익이 치러 8옴 이 정도가 아닙니다
15690	15.69	그야말로 로또 1등 당첨 과 같은 수준의 인생역전 천 여기에요
21900	21.90	여태까지 단 한번도 과천 지정 타 때도 하남 감일 풀어주고 때도 미래의
27210	27.21	일 다시 5블럭 을 분양할 때도 제가 이렇게까지 얘기하지 않았어요
32130	32.13	자 왜 이렇게까지 얘기를 하느냐 자 이게 확정된 분양 갑니다
36420	36.42	3억 8천 5백 보이세요 84b 타입 은 평균 4억 이에요 분양가가 전용
42329	42.33	팔 의사가 4억 이에요
44550	44.55	자 여러분 쳐 영상을 많이 보시는 분들은 동탄 25
48300	48.30	이 하면 되게 익숙하실 줘 지금 실제로 동탄 역세권 25억 을 헤어
52620	52.62	동탄 대장 롯데캐슬은 호가가 20억 실거래가 17 합을 달리는데 분양가는
58320	58.32	5억 이에요
59190	59.19	33평 전형 8 사는 사업에서 4억 5천 이구요 사업 뭐야 이거 분야가
63960	63.96	잘못 나왔나요
64830	64.83	모두의 부동산도 약 7억 정도로 나올거라고 지난번에 예상을 했었죠 근데
69780	69.78	전용 8 서 33평 이 사업이란 2
72510	72.51	그럼 당연히 시세차익 은 이 때 예상했던 것보다 훨씬 없겠죠
77189	77.19	뭐 이것만 해도 엄청난 로또 분양 있긴한데 더 높다고 그런데 화 성당의
81990	81.99	30% 경기도 20% 기타 수도권 50% 지역 군대도 하구요
87840	87.84	추천 재 물량도 꽤 있어서 각 점 이나 즈 신 분 주택이 한 채 있으신
93119	93.12	분
93570	93.57	경기도 화성시에 거주하지 않는 분 모두 돌려 볼 수 있다
97320	97.32	제가 왜 로또 1등은 531 명 선반 이라고 하는지 알겠죠
102570	102.57	지금부터 이동 탄력 뒤에 틀을 9 동탄 대방 2차 의 입지는 어떠한지
108180	108.18	그에 따른 시세 차익 은 어느 정도로 큰 지 적 아 점자 1주택자 는
114000	114.00	어느 타입의 초 약해 야 하는지 그리고 경쟁이 보나 가라 아주 추월 할
118530	118.53	텐데 그 나나 이 중에서 조금 비인기 타입이라 내가 노려볼만한 타입은
123600	123.60	어딘지 마지막으로 유의 사항은 어떤 것들이 있는지 까지 쭉 한 번 정리해
128729	128.73	보겠습니다
129780	129.78	좋아요를 누르시면 당첨 되시라고 기도는 해드립니다
134250	134.25	으 으
141060	141.06	자동 탄력 뒤에 트 르 531 세대를 선발 하구요
145110	145.11	일정은 4월 29일날 공고 또 꾸고 모든 기준을 이 날짜에 맞추시면 되요
150870	150.87	내가 무주택 인지 1주택 인지 내가 화성 당해 인지 아닌지
154980	154.98	아 이 날짜까지 화성의 2년 거절을 했다
158190	158.19	당해 요 날짜까지 모든 게 5 날짜까지 들어가야 됩니다
162330	162.33	예치금 도 요 날짜까지 자 특별공급 은 5월 10일에 전 약 하시구요
168330	168.33	신혼부부 특별공급 다자녀 노부모 기타 등등이 있죠
171810	171.81	일반 공급은 5월 11일 입니다 항상 말씀드리지만 이 순위는 아무런
176430	176.43	의미가 없다
177510	177.51	적 앞 점 자 1주택자 타 지역에 사시는 분 다 일순 이에요
182790	182.79	2순위는 지방 사시는 분들 1순위 안에 들어가지 못하면 당첨 가능성은
187380	187.38	없습니다
188280	188.28	그 참고로 혹시 모르실 까봐 특별 공급과 일반공급 은 중복 천하게 되니까
193709	193.71	세대주 가 특별공급 또 하시고 일반 공급도 하시고
197280	197.28	2번 저녁 하시면 되요 로또 1등 당첨자 발표는 5월 18일 입니다
202470	202.47	자리란 개요 적인 부분은 제가 굳이 말씀을 드릴 필요가 하시게 없기
206459	206.46	때문에 빨리 빨리 시작할게요 타입은 이렇게 편성이 되어 있어요
210420	210.42	전용 84a p 총 370 3대 있구요
213720	213.72	전용 102 대형 평수 줘 전용 85제곱미터 초과 하는 평수가 총 160
219569	219.57	1세가 지금 있죠 81 80 해서
222420	222.42	자 동탄 2신도시 이는 투기과열지구 구요 투기과열지구 는 전용
227310	227.31	85제곱미터 초과 평형의 만 추천 물량이 절반이 존재한다 라서 내가 각
233730	233.73	점 이 높지 않다
235019	235.02	2d 에 틀은 은 커트라인이 굉장히 높을 거라 50점 60점 이런 분들도
239579	239.58	각 점 으로 당첨돼 가능성은 거의 없습니다
242130	242.13	다 추첨으로 들어가셔야 되요 난 주택이 한 채 있다
245459	245.46	이런 분들은 그냥 이 추천 50% 불량이 있는 이 전용 파로 초가 물량을
249959	249.96	들어 가셔야 되는데 이 전용 파로 초가 물량은 뭐다 전용 팩 2의 제곱
254910	254.91	미터
255450	255.45	100ea 백기 b 이렇게 두 타입이 있죠
259380	259.38	요 팩 1동에 다 들어가 있어요 201 똥만 찬 약 하시면 됩니다
263430	263.43	저희가 점자 1주택자 는 101동 만 절약한다
266669	266.67	그러나 실낱 같은 희망이 라도 있는 거예요 자 이제 지금부터가 중요한데
270990	270.99	이 찌는 아시다 싶이 매우 좋습니다
273840	273.84	동 탄력 에서 5분거리 이 동탄 2신도시의 핵심은 이 동탄 여기라고
278460	278.46	말씀을 드렸어요
279659	279.66	동탄 역으로 모든 교통수단이 좀 몰 땅이 되고 gtx a 부터 해서 인
285419	285.42	동선
286950	286.95	앱스 아이온에 있구요 모든 교통수단이 다동 탄력으로 이렇게 모이기 때문에
292200	292.20	모양만 더도 모이고 있죠
294450	294.45	동탄 역으로 경기 남부의 교통의 구심점 중에 하나입니다
298680	298.68	중요한 건 지금은 srt 밖에 없다는 거에요 나머지 지치 xa 나 인
302940	302.94	동선이나 트랜 같은 경우에는 앞으로 들어오는 거죠
306630	306.63	아직 srt 밖에 없는데 또 지금 가격이 상당히 많이 올랐어요
310920	310.92	이런 노 산들의 기대감이 당연히 반영이 되어 있는 거죠 그 중에서도
314520	314.52	중요한 건 gtx 이고 판교 삼성 서울 역 등 주요 일자리를 전부 다
320580	320.58	지나가는 노선이 닿아서 매우 중요하다 여러 번 얘기를 했구요
323820	323.82	그래서 동탄 2신도시 면 동 탄력과 가까운 게 장땡 이고 종 탄력과 가장
328140	328.14	가까운 단지는 이 바로 오른쪽에 붙어 있는 동탄 롯데캐슬 이에요 지금
332310	332.31	안보이죠
333360	333.36	예 지금 시세가 이래요 그만큼 동탄 여기가 진희 강합니다
337650	337.65	동탄역 에 가까울수록 가치가 높다 이번에 분양하는 d 에 틀은 봄 탄력과
343050	343.05	굉장히 가까운 편이에요
344940	344.94	로테 캐슬을 정돈 아니지만 굉장히 가깝습니다 기본적으로 입지가 좋죠
349890	349.89	그리고 왼쪽에는 여울 공원이 있어요 동탄의 가장 크고 퀄리티가 좋은
355230	355.23	공원이 줘
356280	356.28	이렇게 생겼습니다 얼 공원은 이런 정말 찡 공원 제대로 된 공원 그런
361470	361.47	공원 들에 가치는 날이 갈수록 올라가요 지금 추세가 그렇습니다
365970	365.97	그리고 뒤에 트리가 역인데 근처에 삼성전자 화성사업장 삼성전자 기흥
370860	370.86	사업장 위치를 하구요
372300	372.30	기 응 동공 3동 이쪽에도 일자리가 많이 있습니다 교통으로 모나 자차로
377010	377.01	보나 일자리 의 접근성은 매우 훌륭하다
379980	379.98	동탄 2 괜히 비싼 게 아니에요 그러니까 자 이런 입지를 가지고 있구요
383910	383.91	dl 틀에 입지가 좀 자세하게 알고싶으시면 제가 지난 번에 올린 date
388140	388.14	영상이 있어요
389220	389.22	궁금하신 분은 여기를 클릭하셔서 보고 오세요
392840	392.84	자 이제 입지를 알았으니까 우리가 시세차익을 구할 수 있죠
395630	395.63	이 시세차익 은 어떻게 구한 야 지금 이 위치에 신축이 있다면 이걸 내가
401690	401.69	매수 하려면 얼마를 줘야 하는지를 먼저 구합니다
405320	405.32	1위 치의 신축 아파트가 있다면 이렇게 이미 지어져 있자면 이걸 내가
409400	409.40	얼마를 주고 사야 하는지 를 구해 보는 거죠
412640	412.64	원래는 이만큼 을 주고 사야 되는데 분양가는 싸줘 보통 시세보다
417950	417.95	분양 까는 요만큼만 주고 산단 말이에요 근데 나머지가 시세 차익에 되는
421850	421.85	거죠
422240	422.24	내가 할인받아서 산다 라고 생각하시면 됩니다 그 대가는 전매제한 10년
426860	426.86	의무 거주 5년
428510	428.51	기타 등등이 있죠 이런 대까지 있다고 하더라도 이 단지의 시세 차에 건
