0	0.00	여러분 모두 알고 계시는 질문을 드릴게요 우리 대한민국의 집값을
4230	4.23	좌지우지하는 4가지는 무엇일까요
6779	6.78	너무 쉬운 질문이죠 집값에 영향을 가장 많이 끼친 은 네 가지는 무엇일까
12000	12.00	첫번째는 지하철로 대표되는 교통 입지 줘 교통이 얼마나 좋으냐
16680	16.68	두번째 우리나라가 특히 민감하지 줘 바꾼 세번째
20460	20.46	사실 이게 가장 중요하죠 1 자이니 일자리가 얼마나 난 있느냐 이 셋과
24960	24.96	더불어 마지막 네번째 자리를 차지하는 것이 뭘까요
27750	27.75	다들 아시죠 한강 입니다 한강을 바라보는 아파트를 사라
31140	31.14	넌 부자가 될 것이다 수십 년 전부터 듣던 얘기죠
34410	34.41	실제로 이 말을 실천한 사람들 중 부자가 되지 않은 사람들은 거의 없어요
38700	38.70	바로의 한강을 바라보는 고덕 강일지구 의 9호선 강 인력의 연장이 예정
43620	43.62	되면서 고덕 강일지구 의 대폭발이 예상되는 이 분위기에서 초등학교 중학교
49230	49.23	의원까지 낀 단지를 반값에 분양해 버려요
52199	52.20	여러분 얼마전에 별 레지아 2000 약대 났을 때 감히 푸르지오 마크
55649	55.65	벨을 전 약 끊었을 때 무슨 생각하셨어요 과천 지식정보 타온 삼형제 다
60420	60.42	전역하고 나서 무슨 생각하셨어요 전합니다
63149	63.15	저는 알죠 다음은 어디 아 이제 내가 바라봐야 하는 곳이 어디 아
66659	66.66	* 네가 밀과 천처럼 분양가 상한제 덥게 시세 차에 7억 이상 발생해
72060	72.06	주면서 동시에 서울 경기 인천 모든 지역에서 당첨이 가능하고 적 앞 점자
76979	76.98	1주택자 로 당첨 간의 추천 물량도 있는 그런 단지 도대체 어디야
81689	81.69	빨리 알려주 흥분하지 마시고요 여기 있습니다 로또 분양의 다음 타자는
86210	86.21	힐스테이트 리슈빌 당일 되요
88710	88.71	얼마전까지 오덕 강의해 스테이트 라고 부르던 그 곳이죠
91950	91.95	오늘 모두 부동산과 함께 이 힐스테이트 리슈빌 강의로 의 입지는 어떠한지
96119	96.12	시세 차에게 얼마나 발생할 지 유의사항은 어떤 것들이 있는지 싹다 한번
100890	100.89	알아보겠습니다
101790	101.79	좋아요 한번 먼저 꼭 한번 눌러주시고 고 적은 영상을 다 보시고 나면
106350	106.35	자연스럽게 누르게 되실겁니다
108479	108.48	영상 꼭 끝까지 시청하세요
117950	117.95	아 먼저 가장 기본적인 정보를 좀 드리고 시작 할게요
120890	120.89	펜 스테이트 21강 일은 여러분이 흔히 고독하게 힐스테이트 라고 알고
126320	126.32	있던 그 단지가 이름을 이렇게 지은 거예요
129170	129.17	11월달에 분양을 할 예정인데 또 어떻게 될지 모르죠 항상 분양 이라는
133610	133.61	것
134210	134.21	실제로 공부가 뜨기 전까진 알 수 없으니까 현대건설과 개 령 건선이
138440	138.44	컨소시엄으로 시공을 합니다
140270	140.27	현대건설의 힐스테이트 개념 건설에 리뷰 빌 이건 뭐 중요한 부분은
144530	144.53	아니구요
145040	145.04	저의 서울 이십니다 서울시 강동구 요즘 강남 4구 라고 스스로 주장하고
149990	149.99	있는 서울시 강동구 강일 동에 고덕 강일 공공주택 찍으로 한 곳이 있어요
155540	155.54	공공주택 찍을 공공택지 에 공공택지 서울시의 공공택지 그렇게 많이
160880	160.88	없거든요
161570	161.57	거의 없어요 공공택지 는 보통 사람이나 담양 주나
165050	165.05	뭐 이런 신도시 개발하는 것들이 많이 있는데 정말 보기드믄 서울 시내에
169010	169.01	있는 공공택지 지 거에요
170810	170.81	공공택지 기 때문에 무조건 분양가상한제가 적용돼 써 그것도 무조건 분양가
176060	176.06	상한제가 조정이 되요
177380	177.38	그것도 현재까지의 추세로 봤을 때 매우 강하게 반 이상 확 쳐 버리는
181430	181.43	수준으로 적용이 됩니다
183260	183.26	또 공공택지 이기 때문에 제가 항상 말씀 드리죠 큰 공공택지 들은 수도권
187459	187.46	모든 거주자 드릴게 물량을 배분해 줍니다
190190	190.19	서울이라고 해서 서울시의 당해야만 당첨 가능한게 안고 경기도나 인천에
195200	195.20	거주하시는 어도 물량을 배정을 해준다
197540	197.54	정말 보게 되는 것입니다 아마 이 단지를 만들어 보셨는데 이 사실을
201560	201.56	모르시는 분들이 많을 거에요
203150	203.15	서울에 있으면 서울 강해서 마감이 되죠 거의 모든 주택이 4 강일지구 는
207680	207.68	예외입니다
208010	208.01	총 809 3대 중규모 단지 구요 대규모 도 아니고 소규모 도 아닌
212590	212.59	전용면적은 8 4
214370	214.37	101 이런식으로 배정이 됐어요 자 201 타입이 있다는거
218720	218.72	이게 중요한 101 타입이 있으면 뭐가 있어요 추천 제가 있다는 뜻입니다
223430	223.43	서울 이기 때문에 투기과열지구 줘 투기과열지구 에서는 85제곱미터 초과
229190	229.19	평형의 한해서만 추천 50% 를 회정 하죠
